log_name;max. runtime;min_runtime;avg_runtime;max_messages;min_messages;avg_messages;max. neg;min. neg;avg. neg;warnings;Wind;Abfall;gas;PV;ext_grid;used_Wind_potential;used_Abfall_potential;used_gas_potential;used_PV_potential;3;3_outages;2;2_outages;1;1_outages;;Sum of service denials - Base agent;Sum of service denials - Ethics module
Base Agent tts 5 rest 50 no wind.log;88.90632772;49.05968428;64.33955452;258876;73963;139304.4737;0.666403919;0.132431746;0.375958173;0;0;0.337238304;0.035866297;0.002853572;0.624041827;0;0.999267793;0.684210524;0.336384615;3.041698648;26;2.266491215;995;1.15649653;622;;8391;10623
Base Agent tts 5 rest 50 10% wind.log;89.72411036;57.65917182;70.76535646;337324;145934;223265.5895;0.839372923;0.165962999;0.452028059;0;0.105857262;0.309115287;0.034211461;0.00284405;0.547971941;0.97384314;0.883142628;0.667073772;0.336374104;3.08432246;60;2.26248401;1025;1.196417167;801;;Service denial percent;Service denial percent
Base Agent tts 5 rest 50 20% wind.log;277.967005;49.43142986;82.9357448;359035;146364;225498.1474;1.000001165;0.216012541;0.567348463;0;0.211674737;0.318283754;0.034536399;0.002853572;0.432651537;0.978129282;0.922475472;0.655310212;0.336384615;3.067719374;45;2.223453681;862;1.105023841;484;;0.116218837;0.147132964
Base Agent tts 5 rest 50 30% wind.log;327.4204752;33.22808218;88.25112429;374815;143778;222209.9596;1.000001757;0.292690472;0.676843161;0;0.325857915;0.313870413;0.034383071;0.002731762;0.323156839;0.982002173;0.925481287;0.668324037;0.322326929;3.052349303;36;2.149084766;662;1.062147078;332;;Avg. Neg. mean Base Agent;Avg. Neg. mean Ethics module
Base Agent tts 5 rest 50 40% wind.log;364.5546072;32.78582764;90.45009463;350325;139609;220823.1735;1.000001757;0.368844924;0.736090977;0;0.430599096;0.268183584;0.034542079;0.002766218;0.263909023;0.987076359;0.841861083;0.670671978;0.326087126;3.032323997;24;2.118659418;542;1.029232307;167;;0.864852293;0.871090568
Base Agent tts 5 rest 50 50% wind.log;357.6796684;11.87787962;92.50877045;363666;125498;222025.66;1.000001757;0.390103033;0.809951864;0;0.511941244;0.261352894;0.033946832;0.002710893;0.190048136;0.957279033;0.838449735;0.647699164;0.319565384;3.017579933;11;2.087003822;391;1.018404263;91;;;
Base Agent tts 5 rest 50 60% wind.log;358.3080552;17.0489769;96.34262131;367729;126208;217141.5941;1.000001757;0.487051468;0.867584371;0;0.57073245;0.257478606;0.036689262;0.002684053;0.132415629;0.921634679;0.846398293;0.683168314;0.31640137;3.001158124;1;2.063979049;283;1.005770376;30;;;
Base Agent tts 5 rest 50 70% wind.log;375.49401;12.1113894;82.79079512;426523;123627;217633.404;1.000001757;0.546154842;0.898638592;0;0.617816111;0.243690134;0.034394071;0.002738276;0.101361408;0.875775344;0.820523372;0.691200446;0.322793317;3.0019049;2;2.052447581;225;1.00684136;30;;;
Base Agent tts 5 rest 50 80% wind.log;336.9426858;12.01992559;66.56692087;405819;118287;212463.625;1.000001757;0.605258125;0.929432851;0;0.647302264;0.242910179;0.036396561;0.002823847;0.070567149;0.820172268;0.817909568;0.686608958;0.332880608;3;0;2.038034007;156;1.004317077;18;;;
Base Agent tts 5 rest 50 90% wind.log;335.0713651;12.13550115;71.96086916;406617;118287;214187.9394;1.000001757;0.664213963;0.950692106;0;0.67344787;0.236946852;0.037559108;0.002738276;0.049307894;0.78066516;0.802718734;0.696969695;0.322793317;3;0;2.030813293;119;1.002404689;10;;;
Base Agent tts 5 rest 50 wind at 100%.log;185.98739;6.721241713;38.04504542;365508;118287;213634.9053;1.000001757;0.72097822;0.968288572;0;0.699800299;0.229768404;0.035866297;0.002853572;0.031711428;0.730348449;0.774515779;0.684210524;0.336384615;3;0;2.018642318;70;1.002664101;11;;;
Base Agent tts 5 rest 50 wind at 110%.log;134.3911486;6.347176075;34.11478957;432672;115589;216374.8105;1.000001757;0.62616337;0.969501042;0;0.708169439;0.222760021;0.03573051;0.002841072;0.030498958;0.676546165;0.756623292;0.68333687;0.336375533;3.001928378;2;2.016404727;67;1.003676432;22;;;
Base Agent tts 5 rest 50 wind at 120%.log;134.2741222;6.519356489;31.49070209;395687;117235;214039.1579;1.000001757;0.743977381;0.984800942;0;0.718988222;0.227228078;0.035732997;0.002851646;0.015199058;0.640316521;0.767378255;0.683011451;0.336384532;3.000894326;1;2.010468509;40;1.000779266;5;;;
Base Agent tts 5 rest 50 wind at 130%.log;117.3118606;6.494591713;29.22614963;367595;117235;211042.2;1.000001757;0.891270989;0.994631535;0;0.727767891;0.228143775;0.035866297;0.002853572;0.005368465;0.601841366;0.76979873;0.684210524;0.336384615;3;0;2.004716308;17;1;0;;;
Base Agent tts 5 rest 50 wind at 140%.log;135.3693197;6.323977947;28.68811204;413553;117235;210634.6;1.000001757;0.891214628;0.997125123;0;0.738751636;0.219653618;0.035866297;0.002853572;0.002874877;0.572696469;0.749348775;0.684210524;0.336384615;3.001149793;1;2.002759249;11;1.001550718;7;;;
Base Agent tts 5 rest 50 wind at 150%.log;53.47514653;5.779981613;25.36694137;431085;117926;212030.2421;1.000001757;0.807891206;0.997978574;0;0.745045081;0.214217908;0.035866297;0.002849287;0.002021426;0.541501544;0.728482888;0.684210524;0.336384004;3.000919454;1;2.000766211;5;1.000435531;3;;;
Base Agent tts 5 rest 50 wind at 160%.log;53.09327412;5.300174236;24.7468427;418952;115589;210659.6842;1.000001757;0.879312737;0.998454706;0;0.744721004;0.215013833;0.035866297;0.002853572;0.001545294;0.509866641;0.725176044;0.684210524;0.336384615;3.001788271;2;2.000911014;6;1.000580708;4;;;
Base Agent tts 5 rest 50 wind at 170%.log;45.18087602;5.177253962;23.56715777;437925;115000;208944.4316;1.000001757;0.634622167;0.996154525;0;0.739320688;0.218846396;0.035139259;0.002848182;0.003845475;0.483386098;0.720085126;0.679135613;0.336384432;3.001888402;2;2.001258934;8;1.000882603;6;;;
Base Agent tts 5 rest 50 wind at 180%.log;51.61440611;5.125529289;24.06986038;362796;115000;208876.4947;1.000001757;1.000000275;1.00000078;0;0.746380193;0.214900718;0.035866297;0.002853572;-7.80E-07;0.460085237;0.718661736;0.684210524;0.336384615;3;0;2;0;1;0;;;
Base Agent tts 5 rest 50 wind at 190%.log;51.51062346;5.065282106;22.65213187;500049;115000;209734.1895;1.000001757;0.67574571;0.995194005;0;0.743517444;0.213039858;0.03578322;0.002853483;0.004805995;0.439911449;0.708452162;0.683719619;0.336494086;3.000868817;1;2.0021867;14;1.001314166;9;;;
Base Agent tts 5 rest 50 wind at 200%.log;49.0751195;5.085987329;22.63192073;458736;115000;210118.1789;1.000001757;0.676966585;0.995199736;0;0.746150566;0.2103831;0.035812694;0.002853377;0.004800264;0.42197201;0.710060538;0.683836358;0.336363486;3.001838526;2;2.001768663;11;1.002017267;13;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ethical Agent tts 5 rest 50 no wind v3.log;72.78185177;32.79149246;47.70478845;115930;45210;75748.10526;0.666403919;0.132431746;0.376129031;0;0;0.337409161;0.035866297;0.002853572;0.623870969;0;0.999999999;0.684210524;0.336384615;3;0;2.253860055;962;1.291504057;1255;;;
Ethical Agent tts 5 rest 50 10% wind.log;81.20342207;38.83325958;56.88095061;169690;83930;114687.0526;0.839372923;0.191535007;0.484551472;0;0.108422441;0.337409161;0.035866297;0.002853572;0.515448528;0.999998915;0.999999999;0.684210524;0.336384615;3;0;2.273586808;1005;1.164472121;790;;;
Ethical Agent tts 5 rest 50 20% wind.log;218.6957166;33.17475486;71.5071238;192097;87770;125139.6;1.000001165;0.25063829;0.592586379;0;0.216587252;0.337279258;0.035866297;0.002853572;0.407413621;0.999391008;0.999805066;0.684210524;0.336384615;3;0;2.192409083;784;1.16182906;745;;;
Ethical Agent tts 5 rest 50 30% wind.log;210.7327883;32.87313485;61.4673838;187897;93210;129845.5789;1.000001757;0.309741551;0.684845642;0;0.32490794;0.321509564;0.035574567;0.002853572;0.315154358;0.999085178;0.973555909;0.656178467;0.336384615;3;0;2.131933086;570;1.12660452;632;;;
Ethical Agent tts 5 rest 50 40% wind.log;270.1365008;17.55713081;66.69430559;209050;97690;134956.5053;1.000001601;0.368844924;0.755411815;0;0.431744092;0.285626277;0.035187874;0.002853572;0.244588185;0.996394135;0.910437809;0.626473338;0.336384615;3;0;2.102980261;449;1.102515918;516;;;
Ethical Agent tts 5 rest 50 50% wind.log;248.8701744;12.07059097;59.20992018;227610;101850;138185.7684;1.000001757;0.427948207;0.816396294;0;0.516858521;0.262198697;0.034485505;0.002853572;0.183603706;0.964426469;0.866136386;0.597624465;0.336384615;3;0;2.076526204;335;1.087270783;451;;;
Ethical Agent tts 5 rest 50 60% wind.log;372.5617676;9.216907263;60.76596038;212872;104025;143995.8247;1.000001757;0.487051468;0.865750637;0;0.586226296;0.245523077;0.031206529;0.002794735;0.134249363;0.95094551;0.819840274;0.567767485;0.329448849;3;0;2.061545872;271;1.071284941;354;;;
Ethical Agent tts 5 rest 50 70% wind.log;189.1975977;8.219633579;48.79877585;229001;103119;146157.9368;1.000001757;0.546154842;0.901911434;0;0.639204408;0.230517876;0.02933598;0.00285317;0.098088566;0.922728977;0.788087962;0.551946808;0.336388455;3;0;2.045982007;193;1.054840552;260;;;
Ethical Agent tts 5 rest 50 80% wind.log;260.5604756;8.131499767;48.18752815;215130;105472;149146.3158;1.000001757;0.604796604;0.93184178;0;0.68544179;0.215062852;0.028483566;0.002853572;0.06815822;0.892124479;0.744060298;0.5549675;0.336384615;3;0;2.035684698;141;1.04197229;176;;;
Ethical Agent tts 5 rest 50 90% wind.log;309.759439;6.81927681;46.83467464;242010;104203;149667.3711;1.000001757;0.664213963;0.953204943;0;0.714790816;0.21146591;0.024170412;0.002777805;0.046795057;0.848380561;0.743206322;0.42982191;0.329443606;3;0;2.028960044;109;1.029458605;125;;;
Ethical Agent tts 5 rest 50 wind at 100%.log;163.7198496;5.977750778;23.61395106;211122;94272;139828.8526;1.000001757;0.72097822;0.968711602;0;0.741248429;0.214715176;0.010203205;0.002544792;0.031288398;0.764982505;0.751821232;0.272056249;0.33636146;3;0;2.016586714;62;1.038693035;150;;;
Ethical Agent tts 5 rest 50 wind at 110%.log;128.0001132;4.381052256;19.59229639;217243;98553;140878.8211;1.000001757;0.777742476;0.9806423;0;0.764102807;0.200534907;0.013482067;0.002522518;0.0193577;0.723604048;0.707987372;0.252215328;0.335103545;3;0;2.011709739;44;1.01834104;72;;;
Ethical Agent tts 5 rest 50 wind at 120%.log;219.4008353;4.529061556;18.44483623;215548;97960;141427.8737;1.000001757;0.834506733;0.988681094;0;0.77350289;0.197461883;0.015050901;0.00266542;0.011318906;0.685420804;0.701368593;0.262195578;0.336027987;3;0;2.006474819;26;1.02099913;79;;;
Ethical Agent tts 5 rest 50 wind at 130%.log;77.00204277;5.052669764;16.53293669;203257;105207;143563.3158;1.000001757;0.891270989;0.994631535;0;0.788831586;0.192650333;0.010414846;0.00273477;0.005368465;0.657051952;0.687422223;0.199178714;0.336539176;3;0;2.003594435;15;1.006671163;28;;;
Ethical Agent tts 5 rest 50 wind at 140%.log;312.537708;4.627265453;22.28468975;347933;99437;144974.9271;1.000001757;0.948035246;0.998144077;0;0.796314727;0.194640083;0.004468522;0.002720745;0.001855923;0.628346448;0.69654312;0.098178239;0.343006766;3;0;2.001863519;9;1.002830342;13;;;
Ethical Agent tts 5 rest 50 wind at 150%.log;32.94920754;4.818421125;14.19926768;189280;101676;143977.4316;1.000001757;1.000000275;1.00000078;0;0.796595635;0.186363776;0.014413111;0.002628257;-7.80E-07;0.590496457;0.659043785;0.130520237;0.335816118;3;0;2;0;1;0;;;
Ethical Agent tts 5 rest 50 wind at 160%.log;31.875036;4.811215639;13.93699757;198412;104079;143812.2316;1.000001757;1.000000275;1.00000078;0;0.800436486;0.182437597;0.014506414;0.002620283;-7.80E-07;0.555041071;0.642466433;0.128912879;0.335171188;3;0;2;0;1;0;;;
Ethical Agent tts 5 rest 50 170%.log;22.53542233;5.094016552;13.22380363;198457;107871;147189.4947;1.000001757;1.000000275;1.00000078;0;0.807884741;0.175703002;0.013870818;0.002542218;-7.80E-07;0.536579646;0.625352486;0.125850064;0.336361307;3;0;2;0;1;0;;;
Ethical Agent tts 5 rest 50 180%.log;31.49878359;5.084368229;12.97144686;228127;108242;147508.4526;1.000001757;1.000000275;1.00000078;0;0.815790242;0.168067839;0.013598869;0.00254383;-7.80E-07;0.511256707;0.587985604;0.117207945;0.335734354;3;0;2;0;1;0;;;
Ethical Agent tts 5 rest 50 190%.log;172.2443433;5.058748722;13.53669609;288093;100573;146371.6421;1.000001757;0.94843545;0.999457992;0;0.810630671;0.17185475;0.014506245;0.002466326;0.000542008;0.477436166;0.61005875;0.129233137;0.335117748;3;0;2.000435551;2;1;0;;;
Ethical Agent tts 5 rest 50 200%.log;29.48385644;5.106410027;12.6620019;217603;107241;146095.4526;1.000001757;1.000000275;1.00000078;0;0.811079119;0.17101811;0.015342505;0.002561047;-7.80E-07;0.465722145;0.601702953;0.141730113;0.33670818;3;0;2;0;1;0;;;
