Time,0-load-0-15.p_mw,0-load-1-17.p_mw,0-load-10-35.p_mw,0-load-11-37.p_mw,0-load-12-40.p_mw,0-load-14-45.p_mw,0-load-18-50.p_mw,0-load-20-53.p_mw,0-load-22-57.p_mw,0-load-27-63.p_mw,0-load-28-65.p_mw,0-load-29-67.p_mw,0-load-3-20.p_mw,0-load-32-71.p_mw,0-load-33-73.p_mw,0-load-34-74.p_mw,0-load-35-75.p_mw,0-load-36-76.p_mw,0-load-37-77.p_mw,0-load-38-78.p_mw,0-load-39-80.p_mw,0-load-5-25.p_mw,0-load-6-28.p_mw,0-load-7-30.p_mw,0-load-8-32.p_mw,0-load-9-33.p_mw
2017-01-01 00:00:00,0.0151,0.076,0.962,0.962,1.19,0.334,0.818,0.834,0.391,0.818,0.705,0.641,1.06,0.93,0.134,0.0941,0.0941,0.0941,0.0941,0.0941,0.025,1.11,0.971,1.06,0.00464,1.36
2017-01-01 00:15:00,0.0152,0.0908,1.15,1.15,1.42,0.4,0.977,0.996,0.468,0.977,0.843,0.767,1.26,1.11,0.135,0.0961,0.0961,0.0961,0.0961,0.0961,0.0299,1.32,1.16,1.26,0.0045,1.63
2017-01-01 00:30:00,0.0148,0.0842,1.07,1.07,1.31,0.37,0.906,0.924,0.433,0.906,0.781,0.71,1.17,1.03,0.132,0.0967,0.0967,0.0967,0.0967,0.0967,0.0277,1.23,1.08,1.17,0.00438,1.51
2017-01-01 00:45:00,0.0145,0.0779,0.986,0.986,1.22,0.343,0.838,0.854,0.401,0.838,0.723,0.657,1.08,0.953,0.128,0.0975,0.0975,0.0975,0.0975,0.0975,0.0256,1.13,0.995,1.08,0.00431,1.4
2017-01-01 01:00:00,0.0142,0.0717,0.908,0.908,1.12,0.316,0.772,0.787,0.369,0.772,0.666,0.605,0.999,0.878,0.126,0.0987,0.0987,0.0987,0.0987,0.0987,0.0236,1.04,0.917,0.999,0.00431,1.29
2017-01-01 01:15:00,0.0141,0.0658,0.833,0.833,1.03,0.29,0.708,0.722,0.339,0.708,0.611,0.555,0.916,0.805,0.125,0.1,0.1,0.1,0.1,0.1,0.0217,0.958,0.841,0.916,0.00438,1.18
2017-01-01 01:30:00,0.0141,0.0604,0.765,0.765,0.943,0.266,0.65,0.663,0.311,0.65,0.561,0.51,0.841,0.739,0.125,0.101,0.101,0.101,0.101,0.101,0.0199,0.879,0.772,0.841,0.00449,1.08
2017-01-01 01:45:00,0.0141,0.0556,0.704,0.704,0.869,0.245,0.599,0.61,0.286,0.599,0.516,0.47,0.775,0.681,0.126,0.102,0.102,0.102,0.102,0.102,0.0183,0.81,0.711,0.775,0.00459,0.998
2017-01-01 02:00:00,0.0142,0.0518,0.656,0.656,0.809,0.228,0.557,0.568,0.267,0.557,0.481,0.437,0.721,0.634,0.126,0.101,0.101,0.101,0.101,0.101,0.017,0.754,0.662,0.721,0.00464,0.929
2017-01-01 02:15:00,0.0142,0.0491,0.622,0.622,0.767,0.216,0.528,0.539,0.253,0.528,0.456,0.414,0.684,0.601,0.126,0.0996,0.0996,0.0996,0.0996,0.0996,0.0162,0.715,0.628,0.684,0.00461,0.88
2017-01-01 02:30:00,0.0141,0.0472,0.598,0.598,0.737,0.208,0.508,0.518,0.243,0.508,0.438,0.399,0.658,0.578,0.125,0.0971,0.0971,0.0971,0.0971,0.0971,0.0155,0.688,0.604,0.658,0.0045,0.847
2017-01-01 02:45:00,0.014,0.0459,0.581,0.581,0.716,0.202,0.494,0.503,0.236,0.494,0.426,0.387,0.639,0.561,0.125,0.0946,0.0946,0.0946,0.0946,0.0946,0.0151,0.668,0.587,0.639,0.0044,0.823
2017-01-01 03:00:00,0.014,0.0449,0.569,0.569,0.702,0.198,0.484,0.493,0.231,0.484,0.417,0.379,0.626,0.55,0.124,0.0927,0.0927,0.0927,0.0927,0.0927,0.0148,0.654,0.575,0.626,0.00431,0.806
2017-01-01 03:15:00,0.0139,0.044,0.557,0.557,0.687,0.194,0.474,0.483,0.227,0.474,0.409,0.371,0.613,0.539,0.123,0.092,0.092,0.092,0.092,0.092,0.0145,0.641,0.563,0.613,0.00427,0.789
2017-01-01 03:30:00,0.0138,0.0431,0.545,0.545,0.673,0.19,0.464,0.473,0.222,0.464,0.4,0.364,0.6,0.527,0.123,0.092,0.092,0.092,0.092,0.092,0.0142,0.627,0.551,0.6,0.00429,0.773
2017-01-01 03:45:00,0.0138,0.0422,0.535,0.535,0.66,0.186,0.455,0.463,0.217,0.455,0.392,0.357,0.588,0.517,0.123,0.092,0.092,0.092,0.092,0.092,0.0139,0.615,0.54,0.588,0.00431,0.758
2017-01-01 04:00:00,0.0137,0.0415,0.526,0.526,0.648,0.183,0.447,0.456,0.214,0.447,0.385,0.35,0.578,0.508,0.122,0.0914,0.0914,0.0914,0.0914,0.0914,0.0137,0.604,0.531,0.578,0.00431,0.745
2017-01-01 04:15:00,0.0136,0.0408,0.516,0.516,0.637,0.18,0.439,0.448,0.21,0.439,0.379,0.344,0.568,0.499,0.121,0.0899,0.0899,0.0899,0.0899,0.0899,0.0134,0.594,0.522,0.568,0.00429,0.732
2017-01-01 04:30:00,0.0136,0.0403,0.51,0.51,0.629,0.177,0.433,0.442,0.207,0.433,0.374,0.34,0.561,0.493,0.12,0.0883,0.0883,0.0883,0.0883,0.0883,0.0133,0.586,0.515,0.561,0.00426,0.722
2017-01-01 04:45:00,0.0136,0.04,0.506,0.506,0.624,0.176,0.43,0.438,0.206,0.43,0.371,0.337,0.556,0.489,0.12,0.0877,0.0877,0.0877,0.0877,0.0877,0.0132,0.582,0.511,0.556,0.00426,0.717
2017-01-01 05:00:00,0.0137,0.0398,0.503,0.503,0.621,0.175,0.428,0.436,0.205,0.428,0.369,0.336,0.554,0.486,0.122,0.0894,0.0894,0.0894,0.0894,0.0894,0.0131,0.579,0.508,0.554,0.00431,0.713
2017-01-01 05:15:00,0.014,0.0398,0.503,0.503,0.621,0.175,0.428,0.436,0.205,0.428,0.369,0.336,0.554,0.486,0.125,0.0941,0.0941,0.0941,0.0941,0.0941,0.0131,0.579,0.508,0.554,0.00445,0.713
2017-01-01 05:30:00,0.0145,0.0399,0.505,0.505,0.622,0.175,0.429,0.437,0.205,0.429,0.37,0.336,0.555,0.488,0.129,0.1,0.1,0.1,0.1,0.1,0.0131,0.58,0.51,0.555,0.00464,0.715
2017-01-01 05:45:00,0.015,0.0402,0.509,0.509,0.627,0.177,0.432,0.441,0.207,0.432,0.373,0.339,0.559,0.492,0.134,0.106,0.106,0.106,0.106,0.106,0.0132,0.585,0.514,0.559,0.00484,0.72
2017-01-01 06:00:00,0.0156,0.0406,0.514,0.514,0.634,0.179,0.437,0.445,0.209,0.437,0.377,0.343,0.565,0.497,0.139,0.11,0.11,0.11,0.11,0.11,0.0134,0.591,0.519,0.565,0.00498,0.728
2017-01-01 06:15:00,0.0162,0.0412,0.522,0.522,0.643,0.181,0.443,0.452,0.212,0.443,0.383,0.348,0.574,0.504,0.144,0.11,0.11,0.11,0.11,0.11,0.0136,0.6,0.527,0.574,0.00505,0.739
2017-01-01 06:30:00,0.0166,0.0419,0.531,0.531,0.655,0.185,0.451,0.46,0.216,0.451,0.389,0.354,0.584,0.513,0.148,0.108,0.108,0.108,0.108,0.108,0.0138,0.61,0.536,0.584,0.00505,0.752
2017-01-01 06:45:00,0.017,0.0429,0.543,0.543,0.669,0.189,0.461,0.47,0.221,0.461,0.398,0.362,0.597,0.525,0.151,0.105,0.105,0.105,0.105,0.105,0.0141,0.624,0.548,0.597,0.00501,0.769
2017-01-01 07:00:00,0.0173,0.044,0.557,0.557,0.687,0.194,0.474,0.483,0.227,0.474,0.409,0.371,0.613,0.539,0.153,0.103,0.103,0.103,0.103,0.103,0.0145,0.641,0.563,0.613,0.00498,0.789
2017-01-01 07:15:00,0.0173,0.0457,0.578,0.578,0.713,0.201,0.491,0.501,0.235,0.491,0.424,0.385,0.636,0.559,0.154,0.103,0.103,0.103,0.103,0.103,0.015,0.665,0.584,0.636,0.00494,0.819
2017-01-01 07:30:00,0.0173,0.0484,0.612,0.612,0.755,0.213,0.52,0.531,0.249,0.52,0.449,0.408,0.674,0.592,0.153,0.105,0.105,0.105,0.105,0.105,0.0159,0.704,0.618,0.674,0.00492,0.867
2017-01-01 07:45:00,0.0171,0.053,0.671,0.671,0.828,0.233,0.571,0.582,0.273,0.571,0.492,0.448,0.739,0.649,0.152,0.107,0.107,0.107,0.107,0.107,0.0175,0.772,0.678,0.739,0.00494,0.951
2017-01-01 08:00:00,0.0168,0.0605,0.766,0.766,0.945,0.266,0.651,0.664,0.312,0.651,0.562,0.511,0.843,0.741,0.149,0.109,0.109,0.109,0.109,0.109,0.0199,0.881,0.774,0.843,0.00498,1.09
2017-01-01 08:15:00,0.0164,0.0712,0.901,0.901,1.11,0.313,0.766,0.781,0.367,0.766,0.661,0.601,0.992,0.871,0.146,0.109,0.109,0.109,0.109,0.109,0.0234,1.04,0.91,0.992,0.00505,1.28
2017-01-01 08:30:00,0.0161,0.0844,1.07,1.07,1.32,0.371,0.908,0.926,0.434,0.908,0.783,0.712,1.18,1.03,0.143,0.109,0.109,0.109,0.109,0.109,0.0278,1.23,1.08,1.18,0.00513,1.51
2017-01-01 08:45:00,0.0157,0.0988,1.25,1.25,1.54,0.435,1.06,1.08,0.509,1.06,0.917,0.834,1.38,1.21,0.139,0.109,0.109,0.109,0.109,0.109,0.0325,1.44,1.26,1.38,0.00524,1.77
2017-01-01 09:00:00,0.0154,0.113,1.43,1.43,1.77,0.498,1.22,1.24,0.582,1.22,1.05,0.955,1.58,1.38,0.137,0.109,0.109,0.109,0.109,0.109,0.0372,1.65,1.45,1.58,0.00531,2.03
2017-01-01 09:15:00,0.0152,0.127,1.6,1.6,1.98,0.557,1.36,1.39,0.651,1.36,1.17,1.07,1.76,1.55,0.135,0.109,0.109,0.109,0.109,0.109,0.0416,1.84,1.62,1.76,0.00534,2.27
2017-01-01 09:30:00,0.0151,0.139,1.76,1.76,2.17,0.611,1.49,1.52,0.714,1.49,1.29,1.17,1.93,1.7,0.134,0.11,0.11,0.11,0.11,0.11,0.0457,2.02,1.77,1.93,0.00534,2.49
2017-01-01 09:45:00,0.0151,0.15,1.9,1.9,2.34,0.66,1.61,1.64,0.772,1.61,1.39,1.26,2.09,1.83,0.134,0.112,0.112,0.112,0.112,0.112,0.0493,2.18,1.92,2.09,0.00533,2.69
2017-01-01 10:00:00,0.0151,0.16,2.02,2.02,2.5,0.704,1.72,1.75,0.823,1.72,1.48,1.35,2.23,1.96,0.134,0.113,0.113,0.113,0.113,0.113,0.0526,2.33,2.04,2.23,0.00531,2.87
2017-01-01 10:15:00,0.0153,0.169,2.14,2.14,2.64,0.743,1.82,1.85,0.869,1.82,1.57,1.42,2.35,2.07,0.136,0.113,0.113,0.113,0.113,0.113,0.0556,2.46,2.16,2.35,0.00527,3.03
2017-01-01 10:30:00,0.0156,0.177,2.24,2.24,2.76,0.779,1.9,1.94,0.911,1.9,1.64,1.49,2.46,2.17,0.138,0.112,0.112,0.112,0.112,0.112,0.0582,2.58,2.26,2.46,0.00526,3.17
2017-01-01 10:45:00,0.0159,0.185,2.34,2.34,2.88,0.813,1.99,2.03,0.951,1.99,1.72,1.56,2.57,2.26,0.141,0.111,0.111,0.111,0.111,0.111,0.0608,2.69,2.36,2.57,0.00526,3.31
2017-01-01 11:00:00,0.0163,0.193,2.44,2.44,3.01,0.848,2.07,2.11,0.992,2.07,1.79,1.63,2.68,2.36,0.145,0.111,0.111,0.111,0.111,0.111,0.0634,2.8,2.46,2.68,0.00531,3.45
2017-01-01 11:15:00,0.0168,0.201,2.54,2.54,3.13,0.883,2.16,2.2,1.03,2.16,1.86,1.69,2.79,2.46,0.149,0.11,0.11,0.11,0.11,0.11,0.066,2.92,2.57,2.79,0.0054,3.6
2017-01-01 11:30:00,0.0173,0.208,2.64,2.64,3.25,0.916,2.24,2.28,1.07,2.24,1.93,1.76,2.9,2.55,0.153,0.11,0.11,0.11,0.11,0.11,0.0685,3.03,2.66,2.9,0.0055,3.73
2017-01-01 11:45:00,0.0176,0.214,2.71,2.71,3.35,0.944,2.31,2.35,1.1,2.31,1.99,1.81,2.99,2.62,0.156,0.109,0.109,0.109,0.109,0.109,0.0706,3.12,2.74,2.99,0.00559,3.85
2017-01-01 12:00:00,0.0177,0.219,2.77,2.77,3.41,0.962,2.35,2.4,1.13,2.35,2.03,1.84,3.04,2.68,0.158,0.109,0.109,0.109,0.109,0.109,0.0719,3.18,2.79,3.04,0.00564,3.92
2017-01-01 12:15:00,0.0176,0.22,2.78,2.78,3.43,0.968,2.37,2.41,1.13,2.37,2.04,1.86,3.06,2.69,0.156,0.11,0.11,0.11,0.11,0.11,0.0724,3.2,2.81,3.06,0.00562,3.94
2017-01-01 12:30:00,0.0172,0.218,2.76,2.76,3.41,0.96,2.35,2.39,1.12,2.35,2.03,1.84,3.04,2.67,0.153,0.11,0.11,0.11,0.11,0.11,0.0718,3.18,2.79,3.04,0.00554,3.91
2017-01-01 12:45:00,0.0167,0.214,2.71,2.71,3.34,0.941,2.3,2.34,1.1,2.3,1.98,1.8,2.98,2.62,0.149,0.111,0.111,0.111,0.111,0.111,0.0703,3.11,2.73,2.98,0.00543,3.83
2017-01-01 13:00:00,0.0163,0.206,2.61,2.61,3.22,0.909,2.22,2.27,1.06,2.22,1.92,1.74,2.87,2.53,0.145,0.111,0.111,0.111,0.111,0.111,0.068,3.01,2.64,2.87,0.00531,3.7
2017-01-01 13:15:00,0.016,0.197,2.49,2.49,3.07,0.866,2.12,2.16,1.01,2.12,1.83,1.66,2.74,2.41,0.142,0.112,0.112,0.112,0.112,0.112,0.0648,2.87,2.52,2.74,0.00519,3.53
2017-01-01 13:30:00,0.0158,0.186,2.35,2.35,2.9,0.816,2.0,2.04,0.955,2.0,1.72,1.57,2.58,2.27,0.141,0.112,0.112,0.112,0.112,0.112,0.0611,2.7,2.37,2.58,0.00508,3.33
2017-01-01 13:45:00,0.0158,0.174,2.2,2.2,2.71,0.764,1.87,1.91,0.894,1.87,1.61,1.47,2.42,2.13,0.14,0.112,0.112,0.112,0.112,0.112,0.0572,2.53,2.22,2.42,0.00499,3.11
2017-01-01 14:00:00,0.0158,0.162,2.06,2.06,2.54,0.715,1.75,1.78,0.836,1.75,1.51,1.37,2.26,1.99,0.141,0.111,0.111,0.111,0.111,0.111,0.0535,2.36,2.08,2.26,0.00498,2.91
2017-01-01 14:15:00,0.016,0.153,1.93,1.93,2.38,0.672,1.64,1.67,0.786,1.64,1.42,1.29,2.12,1.87,0.142,0.108,0.108,0.108,0.108,0.108,0.0502,2.22,1.95,2.12,0.00501,2.74
2017-01-01 14:30:00,0.0161,0.144,1.83,1.83,2.25,0.635,1.55,1.58,0.742,1.55,1.34,1.22,2.01,1.76,0.143,0.105,0.105,0.105,0.105,0.105,0.0475,2.1,1.84,2.01,0.00508,2.59
2017-01-01 14:45:00,0.0163,0.137,1.74,1.74,2.14,0.603,1.48,1.5,0.706,1.48,1.27,1.16,1.91,1.68,0.145,0.103,0.103,0.103,0.103,0.103,0.0451,2.0,1.75,1.91,0.00519,2.46
2017-01-01 15:00:00,0.0166,0.131,1.66,1.66,2.05,0.578,1.41,1.44,0.676,1.41,1.22,1.11,1.83,1.61,0.147,0.101,0.101,0.101,0.101,0.101,0.0432,1.91,1.68,1.83,0.00531,2.35
2017-01-01 15:15:00,0.0168,0.127,1.6,1.6,1.98,0.557,1.36,1.39,0.652,1.36,1.18,1.07,1.76,1.55,0.149,0.0998,0.0998,0.0998,0.0998,0.0998,0.0417,1.84,1.62,1.76,0.00541,2.27
2017-01-01 15:30:00,0.017,0.123,1.55,1.55,1.91,0.54,1.32,1.34,0.631,1.32,1.14,1.03,1.71,1.5,0.151,0.0999,0.0999,0.0999,0.0999,0.0999,0.0403,1.78,1.57,1.71,0.0055,2.2
2017-01-01 15:45:00,0.0171,0.119,1.51,1.51,1.86,0.524,1.28,1.31,0.613,1.28,1.11,1.01,1.66,1.46,0.152,0.101,0.101,0.101,0.101,0.101,0.0392,1.73,1.52,1.66,0.00559,2.14
2017-01-01 16:00:00,0.0173,0.116,1.47,1.47,1.81,0.509,1.25,1.27,0.596,1.25,1.07,0.977,1.61,1.42,0.153,0.101,0.101,0.101,0.101,0.101,0.0381,1.68,1.48,1.61,0.00564,2.08
2017-01-01 16:15:00,0.0173,0.112,1.42,1.42,1.76,0.495,1.21,1.23,0.579,1.21,1.04,0.949,1.57,1.38,0.154,0.102,0.102,0.102,0.102,0.102,0.037,1.64,1.44,1.57,0.00568,2.02
2017-01-01 16:30:00,0.0175,0.11,1.39,1.39,1.72,0.484,1.18,1.21,0.566,1.18,1.02,0.928,1.53,1.35,0.155,0.102,0.102,0.102,0.102,0.102,0.0362,1.6,1.41,1.53,0.00568,1.97
2017-01-01 16:45:00,0.0178,0.109,1.38,1.38,1.7,0.481,1.17,1.2,0.562,1.17,1.01,0.922,1.52,1.34,0.158,0.102,0.102,0.102,0.102,0.102,0.0359,1.59,1.4,1.52,0.00568,1.96
2017-01-01 17:00:00,0.0184,0.111,1.41,1.41,1.74,0.491,1.2,1.22,0.574,1.2,1.03,0.941,1.55,1.36,0.164,0.103,0.103,0.103,0.103,0.103,0.0367,1.62,1.43,1.55,0.00564,2.0
2017-01-01 17:15:00,0.0195,0.117,1.48,1.48,1.83,0.516,1.26,1.29,0.603,1.26,1.09,0.989,1.63,1.43,0.173,0.103,0.103,0.103,0.103,0.103,0.0386,1.71,1.5,1.63,0.00559,2.1
2017-01-01 17:30:00,0.0207,0.126,1.59,1.59,1.96,0.552,1.35,1.38,0.646,1.35,1.16,1.06,1.75,1.54,0.184,0.103,0.103,0.103,0.103,0.103,0.0413,1.83,1.6,1.75,0.00555,2.25
2017-01-01 17:45:00,0.0219,0.135,1.71,1.71,2.11,0.594,1.45,1.48,0.695,1.45,1.25,1.14,1.88,1.65,0.194,0.104,0.104,0.104,0.104,0.104,0.0444,1.96,1.73,1.88,0.00555,2.42
2017-01-01 18:00:00,0.0227,0.144,1.83,1.83,2.25,0.635,1.55,1.58,0.743,1.55,1.34,1.22,2.01,1.77,0.202,0.106,0.106,0.106,0.106,0.106,0.0475,2.1,1.84,2.01,0.00564,2.59
2017-01-01 18:15:00,0.023,0.152,1.93,1.93,2.38,0.671,1.64,1.67,0.784,1.64,1.41,1.29,2.12,1.86,0.205,0.109,0.109,0.109,0.109,0.109,0.0502,2.22,1.95,2.12,0.00582,2.73
2017-01-01 18:30:00,0.023,0.159,2.02,2.02,2.49,0.701,1.71,1.75,0.82,1.71,1.48,1.34,2.22,1.95,0.204,0.112,0.112,0.112,0.112,0.112,0.0524,2.32,2.04,2.22,0.00604,2.86
2017-01-01 18:45:00,0.0229,0.166,2.1,2.1,2.59,0.73,1.78,1.82,0.853,1.78,1.54,1.4,2.31,2.03,0.203,0.116,0.116,0.116,0.116,0.116,0.0546,2.41,2.12,2.31,0.00622,2.97
2017-01-01 19:00:00,0.0229,0.172,2.18,2.18,2.68,0.757,1.85,1.89,0.885,1.85,1.6,1.45,2.39,2.1,0.204,0.12,0.12,0.12,0.12,0.12,0.0566,2.5,2.2,2.39,0.00631,3.08
2017-01-01 19:15:00,0.0233,0.178,2.25,2.25,2.78,0.783,1.92,1.95,0.916,1.92,1.65,1.5,2.48,2.18,0.207,0.124,0.124,0.124,0.124,0.124,0.0586,2.59,2.28,2.48,0.00622,3.19
2017-01-01 19:30:00,0.0239,0.183,2.32,2.32,2.86,0.806,1.97,2.01,0.943,1.97,1.7,1.55,2.55,2.24,0.212,0.127,0.127,0.127,0.127,0.127,0.0603,2.67,2.34,2.55,0.00601,3.28
2017-01-01 19:45:00,0.0243,0.186,2.35,2.35,2.9,0.818,2.0,2.04,0.957,2.0,1.73,1.57,2.59,2.27,0.216,0.129,0.129,0.129,0.129,0.129,0.0612,2.71,2.38,2.59,0.0058,3.33
2017-01-01 20:00:00,0.0244,0.185,2.34,2.34,2.89,0.814,1.99,2.03,0.952,1.99,1.72,1.56,2.57,2.26,0.216,0.128,0.128,0.128,0.128,0.128,0.0608,2.69,2.36,2.57,0.00564,3.32
2017-01-01 20:15:00,0.0238,0.179,2.27,2.27,2.8,0.79,1.93,1.97,0.924,1.93,1.67,1.51,2.5,2.2,0.212,0.125,0.125,0.125,0.125,0.125,0.0591,2.61,2.29,2.5,0.00559,3.22
2017-01-01 20:30:00,0.0228,0.171,2.16,2.16,2.67,0.752,1.84,1.88,0.88,1.84,1.59,1.44,2.38,2.09,0.203,0.12,0.12,0.12,0.12,0.12,0.0563,2.49,2.19,2.38,0.00562,3.07
2017-01-01 20:45:00,0.0217,0.162,2.04,2.04,2.52,0.711,1.74,1.77,0.831,1.74,1.5,1.36,2.25,1.98,0.192,0.114,0.114,0.114,0.114,0.114,0.0532,2.35,2.07,2.25,0.00566,2.9
2017-01-01 21:00:00,0.0206,0.153,1.94,1.94,2.39,0.673,1.65,1.68,0.787,1.65,1.42,1.29,2.13,1.87,0.183,0.109,0.109,0.109,0.109,0.109,0.0503,2.23,1.95,2.13,0.00564,2.74
2017-01-01 21:15:00,0.0197,0.147,1.86,1.86,2.29,0.646,1.58,1.61,0.756,1.58,1.36,1.24,2.04,1.8,0.175,0.106,0.106,0.106,0.106,0.106,0.0483,2.14,1.88,2.04,0.00552,2.63
2017-01-01 21:30:00,0.0191,0.142,1.8,1.8,2.22,0.627,1.53,1.56,0.733,1.53,1.32,1.2,1.98,1.74,0.17,0.105,0.105,0.105,0.105,0.105,0.0469,2.07,1.82,1.98,0.00533,2.55
2017-01-01 21:45:00,0.0186,0.139,1.76,1.76,2.17,0.611,1.49,1.52,0.714,1.49,1.29,1.17,1.93,1.7,0.165,0.104,0.104,0.104,0.104,0.104,0.0457,2.02,1.77,1.93,0.00512,2.49
2017-01-01 22:00:00,0.018,0.135,1.71,1.71,2.1,0.593,1.45,1.48,0.694,1.45,1.25,1.14,1.88,1.65,0.16,0.104,0.104,0.104,0.104,0.104,0.0443,1.96,1.72,1.88,0.00498,2.42
2017-01-01 22:15:00,0.0173,0.13,1.64,1.64,2.02,0.57,1.39,1.42,0.667,1.39,1.2,1.09,1.8,1.59,0.154,0.103,0.103,0.103,0.103,0.103,0.0426,1.89,1.66,1.8,0.00492,2.32
2017-01-01 22:30:00,0.0166,0.123,1.56,1.56,1.92,0.542,1.32,1.35,0.634,1.32,1.14,1.04,1.71,1.51,0.147,0.102,0.102,0.102,0.102,0.102,0.0405,1.79,1.57,1.71,0.00494,2.21
2017-01-01 22:45:00,0.0159,0.116,1.47,1.47,1.81,0.51,1.25,1.27,0.596,1.25,1.08,0.978,1.61,1.42,0.141,0.0999,0.0999,0.0999,0.0999,0.0999,0.0381,1.69,1.48,1.61,0.00498,2.08
2017-01-01 23:00:00,0.0154,0.108,1.37,1.37,1.69,0.475,1.16,1.18,0.556,1.16,1.0,0.911,1.5,1.32,0.137,0.098,0.098,0.098,0.098,0.098,0.0355,1.57,1.38,1.5,0.00498,1.94
2017-01-01 23:15:00,0.0151,0.0999,1.26,1.26,1.56,0.439,1.07,1.1,0.514,1.07,0.927,0.843,1.39,1.22,0.134,0.0961,0.0961,0.0961,0.0961,0.0961,0.0329,1.45,1.28,1.39,0.00492,1.79
2017-01-01 23:30:00,0.015,0.0918,1.16,1.16,1.43,0.404,0.987,1.01,0.472,0.987,0.852,0.774,1.28,1.12,0.133,0.0946,0.0946,0.0946,0.0946,0.0946,0.0302,1.34,1.17,1.28,0.00484,1.65
2017-01-01 23:45:00,0.015,0.0838,1.06,1.06,1.31,0.369,0.901,0.919,0.431,0.901,0.778,0.707,1.17,1.03,0.134,0.0938,0.0938,0.0938,0.0938,0.0938,0.0276,1.22,1.07,1.17,0.00473,1.5
