Time,0-sgen-0-16.p_mw,0-sgen-1-17.p_mw,0-sgen-10-35.p_mw,0-sgen-11-37.p_mw,0-sgen-12-39.p_mw,0-sgen-13-40.p_mw,0-sgen-14-43.p_mw,0-sgen-15-45.p_mw,0-sgen-16-50.p_mw,0-sgen-17-53.p_mw,0-sgen-18-55.p_mw,0-sgen-19-57.p_mw,0-sgen-2-20.p_mw,0-sgen-20-63.p_mw,0-sgen-21-65.p_mw,0-sgen-22-67.p_mw,0-sgen-23-71.p_mw,0-sgen-24-80.p_mw,0-sgen-3-22.p_mw,0-sgen-4-23.p_mw,0-sgen-5-25.p_mw,0-sgen-6-28.p_mw,0-sgen-7-30.p_mw,0-sgen-8-32.p_mw,0-sgen-9-33.p_mw
1483225200000,4.722571349234925,0.0,0.0,0.0,4.722571349234925,0.0,9.44514269846985,0.0,0.0,0.0,8.786207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.722571349234925,4.722571349234925,0.0,0.0,0.0,0.0,0.0
1483226100000,4.66784956508222,0.0,0.0,0.0,4.66784956508222,0.0,9.33569913016444,0.0,0.0,0.0,8.605172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66784956508222,4.66784956508222,0.0,0.0,0.0,0.0,0.0
1483227000000,4.61727633986164,0.0,0.0,0.0,4.61727633986164,0.0,9.23455267972328,0.0,0.0,0.0,8.650348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61727633986164,4.61727633986164,0.0,0.0,0.0,0.0,0.0
1483227900000,4.610420754884937,0.0,0.0,0.0,4.610420754884937,0.0,9.220841509769874,0.0,0.0,0.0,8.484483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.610420754884937,4.610420754884937,0.0,0.0,0.0,0.0,0.0
1483228800000,2.453957306711698,0.0,0.0,0.0,2.453957306711698,0.0,4.907914613423396,0.0,0.0,0.0,8.774138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.453957306711698,2.453957306711698,0.0,0.0,0.0,0.0,0.0
1483229700000,2.551526496968795,0.0,0.0,0.0,2.551526496968795,0.0,5.103052993937591,0.0,0.0,0.0,8.206897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.551526496968795,2.551526496968795,0.0,0.0,0.0,0.0,0.0
1483230600000,2.665341164997722,0.0,0.0,0.0,2.665341164997722,0.0,5.330682329995443,0.0,0.0,0.0,7.736207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.665341164997722,2.665341164997722,0.0,0.0,0.0,0.0,0.0
1483231500000,2.728712146475685,0.0,0.0,0.0,2.728712146475685,0.0,5.45742429295137,0.0,0.0,0.0,7.205172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.728712146475685,2.728712146475685,0.0,0.0,0.0,0.0,0.0
1483232400000,2.762943570298311,0.0,0.0,0.0,2.762943570298311,0.0,5.525887140596622,0.0,0.0,0.0,7.92931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.762943570298311,2.762943570298311,0.0,0.0,0.0,0.0,0.0
1483233300000,2.825059023132285,0.0,0.0,0.0,2.825059023132285,0.0,5.650118046264571,0.0,0.0,0.0,8.894828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.825059023132285,2.825059023132285,0.0,0.0,0.0,0.0,0.0
1483234200000,2.915948668143186,0.0,0.0,0.0,2.915948668143186,0.0,5.831897336286373,0.0,0.0,0.0,8.715517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.915948668143186,2.915948668143186,0.0,0.0,0.0,0.0,0.0
1483235100000,2.996106532601894,0.0,0.0,0.0,2.996106532601894,0.0,5.992213065203788,0.0,0.0,0.0,7.567241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.996106532601894,2.996106532601894,0.0,0.0,0.0,0.0,0.0
1483236000000,3.132534002240023,0.0,0.0,0.0,3.132534002240023,0.0,6.265068004480045,0.0,0.0,0.0,8.146552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.132534002240023,3.132534002240023,0.0,0.0,0.0,0.0,0.0
1483236900000,3.125704989298113,0.0,0.0,0.0,3.125704989298113,0.0,6.251409978596226,0.0,0.0,0.0,7.253448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125704989298113,3.125704989298113,0.0,0.0,0.0,0.0,0.0
1483237800000,3.044656961673826,0.0,0.0,0.0,3.044656961673826,0.0,6.089313923347651,0.0,0.0,0.0,7.977586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044656961673826,3.044656961673826,0.0,0.0,0.0,0.0,0.0
1483238700000,3.062194504637484,0.0,0.0,0.0,3.062194504637484,0.0,6.124389009274968,0.0,0.0,0.0,7.615517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.062194504637484,3.062194504637484,0.0,0.0,0.0,0.0,0.0
1483239600000,3.140768011521635,0.0,0.0,0.0,3.140768011521635,0.0,6.28153602304327,0.0,0.0,0.0,7.482759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.140768011521635,3.140768011521635,0.0,0.0,0.0,0.0,0.0
1483240500000,3.22513422199075,0.0,0.0,0.0,3.22513422199075,0.0,6.450268443981501,0.0,0.0,0.0,6.505172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22513422199075,3.22513422199075,0.0,0.0,0.0,0.0,0.0
1483241400000,3.258515340699987,0.0,0.0,0.0,3.258515340699987,0.0,6.517030681399975,0.0,0.0,0.0,6.601724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258515340699987,3.258515340699987,0.0,0.0,0.0,0.0,0.0
1483242300000,3.264048966945718,0.0,0.0,0.0,3.264048966945718,0.0,6.528097933891435,0.0,0.0,0.0,7.289655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.264048966945718,3.264048966945718,0.0,0.0,0.0,0.0,0.0
1483243200000,3.351852934416233,0.0,0.0,0.0,3.351852934416233,0.0,6.703705868832466,0.0,0.0,0.0,7.748276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.351852934416233,3.351852934416233,0.0,0.0,0.0,0.0,0.0
1483244100000,3.436890088763882,0.0,0.0,0.0,3.436890088763882,0.0,6.873780177527764,0.0,0.0,0.0,6.915517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436890088763882,3.436890088763882,0.0,0.0,0.0,0.0,0.0
1483245000000,3.501639494546754,0.0,0.0,0.0,3.501639494546754,0.0,7.003278989093508,0.0,0.0,0.0,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.501639494546754,3.501639494546754,0.0,0.0,0.0,0.0,0.0
1483245900000,3.548715175687651,0.0,0.0,0.0,3.548715175687651,0.0,7.097430351375302,0.0,0.0,0.0,6.601724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.548715175687651,3.548715175687651,0.0,0.0,0.0,0.0,0.0
1483246800000,3.672706933042459,0.0,0.0,0.0,3.672706933042459,0.0,7.345413866084917,0.0,0.0,0.0,6.939655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.672706933042459,3.672706933042459,0.0,0.0,0.0,0.0,0.0
1483247700000,3.740013897174197,0.0,0.0,0.0,3.740013897174197,0.0,7.480027794348394,0.0,0.0,0.0,7.132759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.740013897174197,3.740013897174197,0.0,0.0,0.0,0.0,0.0
1483248600000,3.782094035773931,0.0,0.0,0.0,3.782094035773931,0.0,7.564188071547862,0.0,0.0,0.0,7.555172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.782094035773931,3.782094035773931,0.0,0.0,0.0,0.074458,0.0
1483249500000,3.820367730389506,0.0,0.0,0.0,3.820367730389506,0.0,7.640735460779012,0.0,0.0,0.0,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.820367730389506,3.820367730389506,0.0,0.0,0.0,0.100715,0.0
1483250400000,3.918508219394662,0.0,0.0,0.0,3.918508219394662,0.0,7.837016438789325,0.0,0.0,0.0,6.263793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.918508219394662,3.918508219394662,0.0,0.0,0.0,0.214739,0.0
1483251300000,4.038583923121789,0.0,0.0,0.0,4.038583923121789,0.0,8.077167846243578,0.0,0.0,0.0,5.503448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.038583923121789,4.038583923121789,0.0,0.0,0.0,0.185381,0.0
1483252200000,4.095069426083906,0.0,0.0,0.0,4.095069426083906,0.0,8.190138852167813,0.0,0.0,0.0,4.694828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095069426083906,4.095069426083906,0.0,0.0,0.0,0.207953,0.0
1483253100000,4.119147011111097,0.0,0.0,0.0,4.119147011111097,0.0,8.238294022222194,0.0,0.0,0.0,6.891379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.119147011111097,4.119147011111097,0.0,0.0,0.0,0.217336,0.0
1483254000000,4.131439898707403,0.0,0.0,0.0,4.131439898707403,0.0,8.262879797414806,0.0,0.0,0.0,5.781034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.131439898707403,4.131439898707403,0.0,0.0,0.0,0.188082,0.0
1483254900000,4.1449883149477,0.0,0.0,0.0,4.1449883149477,0.0,8.2899766298954,0.0,0.0,0.0,6.118966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1449883149477,4.1449883149477,0.0,0.0,0.0,0.227102,0.0
1483255800000,4.150694659419587,0.0,0.0,0.0,4.150694659419587,0.0,8.301389318839174,0.0,0.0,0.0,7.22931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.150694659419587,4.150694659419587,0.0,0.0,0.0,0.291459,0.0
1483256700000,4.150820876584856,0.0,0.0,0.0,4.150820876584856,0.0,8.301641753169712,0.0,0.0,0.0,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.150820876584856,4.150820876584856,0.0,0.0,0.0,0.359537,0.0
1483257600000,4.193854286932804,0.0,0.0,0.0,4.193854286932804,0.0,8.387708573865607,0.0,0.0,0.0,6.915517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193854286932804,4.193854286932804,0.0,0.0,0.0,0.345957,0.0
1483258500000,4.211710694313983,1.1196815128e-05,0.000167952226922,0.000164219955213,4.211710694313983,0.000171684498632,8.423421388627967,4.8519532222e-05,0.00012316496641,0.00012316496641,6.541379,5.971634735e-05,0.000153023140085,0.0001194326947,0.000104503607863,9.3306792735e-05,0.000309778551879,3.732271709e-06,4.211710694313983,4.211710694313983,0.000309778551879,0.000164219955213,0.00018288131376,0.490691,0.000309778551879
1483259400000,4.241810166726233,5.5984075641e-05,0.000839761134611,0.000821099776064,4.241810166726233,0.000858422493158,8.483620333452466,0.00024259766111,0.000615824832048,0.000615824832048,6.131034,0.00029858173675,0.000765115700423,0.000597163473501,0.000522518039313,0.000466533963673,0.001548892759393,1.8661358547e-05,4.241810166726233,4.241810166726233,0.001548892759393,0.000821099776064,0.000914406568798,0.58253,0.001548892759393
1483260300000,4.294851269678253,0.000149290868375,0.002239363025628,0.002189599402837,4.294851269678253,0.00228912664842,8.589702539356505,0.000646927096293,0.001642199552127,0.001642199552127,6.903448,0.000796217964668,0.002040308534461,0.001592435929336,0.001393381438169,0.001244090569793,0.004130380691714,4.9763622792e-05,4.294851269678253,4.294851269678253,0.004130380691714,0.002189599402837,0.002438417516795,0.580559,0.004130380691714
1483261200000,4.319071679392457,0.000272455834785,0.004086837521772,0.003996018910177,4.319071679392457,0.004177656133367,8.638143358784914,0.001180641950734,0.002997014182632,0.002997014182632,7.205172,0.001453097785519,0.003723563075392,0.002906195571038,0.002542921124658,0.002270465289873,0.007537944762379,9.0818611595e-05,4.319071679392457,4.319071679392457,0.007537944762379,0.003996018910177,0.004450111968151,0.544105,0.007537944762379
1483262100000,4.375716614563335,0.000406817616322,0.006102264244837,0.00596665837273,4.375716614563335,0.006237870116945,8.75143322912667,0.001762876337397,0.004474993779547,0.004474993779547,7.386207,0.00216969395372,0.005559840756407,0.00433938790744,0.00379696441901,0.003390146802687,0.011255287384922,0.000135605872107,4.375716614563335,4.375716614563335,0.011255287384922,0.00596665837273,0.006644687733267,0.521312,0.011255287384922
1483263000000,4.358531151060689,0.000638218462304,0.009573276934561,0.009360537447126,4.358531151060689,0.009786016421996,8.717062302121379,0.002765613336651,0.007020403085345,0.007020403085345,6.372414,0.003403831798955,0.008722318984822,0.00680766359791,0.005956705648171,0.005318487185867,0.017657377457079,0.000212739487435,4.358531151060689,4.358531151060689,0.017657377457079,0.009360537447126,0.0104242348843,0.520464,0.017657377457079
1483263900000,4.341727660558199,0.000776312515551,0.011644687733267,0.01138591689475,4.341727660558199,0.011903458571784,8.683455321116398,0.003364020900722,0.008539437671062,0.008539437671062,6.505172,0.004140333416273,0.010609604379199,0.008280666832545,0.007245583478477,0.006469270962926,0.021477979596915,0.000258770838517,4.341727660558199,4.341727660558199,0.021477979596915,0.01138591689475,0.012679771087335,0.55238,0.021477979596915
1483264800000,4.339658363348661,0.00096292610102,0.014443891515302,0.014122916148296,4.339658363348661,0.014764866882309,8.679316726697323,0.004172679771087,0.010592187111222,0.010592187111222,5.925862,0.005135605872107,0.013159990047275,0.010271211744215,0.008987310276188,0.008024384175168,0.026640955461558,0.000320975367007,4.339658363348661,4.339658363348661,0.026640955461558,0.014122916148296,0.015727792983329,0.53908,0.026640955461558
1483265700000,4.356275849607598,0.001198059218711,0.017970888280667,0.017571535207763,4.356275849607598,0.018370241353571,8.712551699215195,0.005191589947748,0.013178651405822,0.013178651405822,5.044828,0.006389649166459,0.016373475989052,0.012779298332919,0.011181886041304,0.009983826822593,0.033146305051008,0.000399353072904,4.356275849607598,4.356275849607598,0.033146305051008,0.017571535207763,0.019568300572282,0.492363,0.033146305051008
1483266600000,4.357953209303933,0.001392137347599,0.020882060213984,0.020418014431451,4.357953209303933,0.021346105996517,8.715906418607865,0.006032595172929,0.015313510823588,0.015313510823588,4.972414,0.007424732520527,0.019025877083852,0.014849465041055,0.012993281910923,0.011601144563324,0.038515799950236,0.000464045782533,4.357953209303933,4.357953209303933,0.038515799950236,0.020418014431451,0.022738243344115,0.560707,0.038515799950236
1483267500000,4.326747675943407,0.001616073650162,0.024241104752426,0.023702413535705,4.326747675943407,0.024779795969147,8.653495351886814,0.007002985817368,0.017776810151779,0.017776810151779,7.506897,0.008619059467529,0.022086339885544,0.017238118935058,0.015083354068176,0.013467280418014,0.044711370987808,0.000538691216721,4.326747675943407,4.326747675943407,0.044711370987808,0.023702413535705,0.026395869619308,0.666728,0.044711370987808
1483268400000,4.352579015266962,0.001754167703409,0.026312515551132,0.025727792983329,4.352579015266962,0.026897238118935,8.705158030533925,0.007601393381438,0.019295844737497,0.019295844737497,6.855172,0.009355561084847,0.02397362527992,0.018711122169694,0.016372231898482,0.014618064195073,0.048531973127644,0.000584722567803,4.352579015266962,4.352579015266962,0.048531973127644,0.025727792983329,0.028651405822344,0.679356,0.048531973127644
1483269300000,4.39835930971168,0.002041552625031,0.030623289375467,0.02994277183379,4.39835930971168,0.031303806917144,8.79671861942336,0.008846728041801,0.022457078875342,0.022457078875342,5.962069,0.010888280666833,0.027901219208758,0.021776561333665,0.019054491166957,0.017012938541926,0.056482955959194,0.000680517541677,4.39835930971168,4.39835930971168,0.056482955959194,0.02994277183379,0.033345359542175,0.688922,0.056482955959194
